Backscattered Energy
Energy (KeV)	Hits (Normalized)
0	0
0.01	0
0.02	0
0.03	0
0.04	0
0.05	0
0.06	1.43386e-005
0.07	0
0.08	1.43386e-005
0.09	1.43386e-005
0.1	0
0.11	0
0.12	0
0.13	1.43386e-005
0.14	1.43386e-005
0.15	0
0.16	1.43386e-005
0.17	0
0.18	0
0.19	4.30157e-005
0.2	0
0.21	1.43386e-005
0.22	4.30157e-005
0.23	1.43386e-005
0.24	0
0.25	0
0.26	1.43386e-005
0.27	0
0.28	0
0.29	1.43386e-005
0.3	0
0.31	1.43386e-005
0.32	1.43386e-005
0.33	0
0.34	0
0.35	0
0.36	4.30157e-005
0.37	2.86771e-005
0.38	0
0.39	1.43386e-005
0.4	1.43386e-005
0.41	1.43386e-005
0.42	0
0.43	0
0.44	1.43386e-005
0.45	2.86771e-005
0.46	0
0.47	2.86771e-005
0.48	0
0.49	0
0.5	1.43386e-005
0.51	2.86771e-005
0.52	2.86771e-005
0.53	0
0.54	0
0.55	0
0.56	0
0.57	0
0.58	5.73542e-005
0.59	1.43386e-005
0.6	4.30157e-005
0.61	2.86771e-005
0.62	5.73542e-005
0.63	1.43386e-005
0.64	2.86771e-005
0.65	1.43386e-005
0.66	1.43386e-005
0.67	4.30157e-005
0.68	0
0.69	1.43386e-005
0.7	2.86771e-005
0.71	0
0.72	2.86771e-005
0.73	4.30157e-005
0.74	4.30157e-005
0.75	0
0.76	4.30157e-005
0.77	1.43386e-005
0.78	1.43386e-005
0.79	1.43386e-005
0.8	4.30157e-005
0.81	0
0.82	1.43386e-005
0.83	1.43386e-005
0.84	4.30157e-005
0.85	1.43386e-005
0.86	8.60314e-005
0.87	2.86771e-005
0.88	2.86771e-005
0.89	4.30157e-005
0.9	0
0.91	4.30157e-005
0.92	2.86771e-005
0.93	2.86771e-005
0.94	4.30157e-005
0.95	2.86771e-005
0.96	1.43386e-005
0.97	0
0.98	1.43386e-005
0.99	5.73542e-005
1	4.30157e-005
1.01	2.86771e-005
1.02	4.30157e-005
1.03	5.73542e-005
1.04	1.43386e-005
1.05	5.73542e-005
1.06	7.16928e-005
1.07	8.60314e-005
1.08	4.30157e-005
1.09	5.73542e-005
1.1	7.16928e-005
1.11	5.73542e-005
1.12	4.30157e-005
1.13	5.73542e-005
1.14	5.73542e-005
1.15	2.86771e-005
1.16	1.43386e-005
1.17	1.43386e-005
1.18	2.86771e-005
1.19	7.16928e-005
1.2	5.73542e-005
1.21	2.86771e-005
1.22	5.73542e-005
1.23	5.73542e-005
1.24	5.73542e-005
1.25	2.86771e-005
1.26	5.73542e-005
1.27	1.43386e-005
1.28	4.30157e-005
1.29	4.30157e-005
1.3	5.73542e-005
1.31	5.73542e-005
1.32	8.60314e-005
1.33	2.86771e-005
1.34	5.73542e-005
1.35	7.16928e-005
1.36	8.60314e-005
1.37	0
1.38	1.43386e-005
1.39	7.16928e-005
1.4	4.30157e-005
1.41	5.73542e-005
1.42	4.30157e-005
1.43	7.16928e-005
1.44	1.43386e-005
1.45	2.86771e-005
1.46	8.60314e-005
1.47	7.16928e-005
1.48	5.73542e-005
1.49	5.73542e-005
1.5	8.60314e-005
1.51	8.60314e-005
1.52	4.30157e-005
1.53	2.86771e-005
1.54	7.16928e-005
1.55	7.16928e-005
1.56	4.30157e-005
1.57	5.73542e-005
1.58	0.000114708
1.59	2.86771e-005
1.6	2.86771e-005
1.61	0.000114708
1.62	7.16928e-005
1.63	4.30157e-005
1.64	7.16928e-005
1.65	7.16928e-005
1.66	8.60314e-005
1.67	7.16928e-005
1.68	4.30157e-005
1.69	0
1.7	8.60314e-005
1.71	7.16928e-005
1.72	7.16928e-005
1.73	4.30157e-005
1.74	4.30157e-005
1.75	0.000172063
1.76	0.000129047
1.77	5.73542e-005
1.78	7.16928e-005
1.79	8.60314e-005
1.8	0.00010037
1.81	0.00010037
1.82	5.73542e-005
1.83	5.73542e-005
1.84	0.000114708
1.85	4.30157e-005
1.86	8.60314e-005
1.87	8.60314e-005
1.88	7.16928e-005
1.89	7.16928e-005
1.9	4.30157e-005
1.91	0.000143386
1.92	0.000157724
1.93	8.60314e-005
1.94	0.00010037
1.95	0.000143386
1.96	5.73542e-005
1.97	8.60314e-005
1.98	4.30157e-005
1.99	4.30157e-005
2	0.00010037
2.01	5.73542e-005
2.02	8.60314e-005
2.03	0.000114708
2.04	7.16928e-005
2.05	0.000114708
2.06	7.16928e-005
2.07	8.60314e-005
2.08	7.16928e-005
2.09	0.000215078
2.1	0.00010037
2.11	8.60314e-005
2.12	7.16928e-005
2.13	4.30157e-005
2.14	7.16928e-005
2.15	0.000114708
2.16	0.000143386
2.17	0.000114708
2.18	0.000229417
2.19	0.000129047
2.2	8.60314e-005
2.21	0.000114708
2.22	0.000143386
2.23	0.000129047
2.24	8.60314e-005
2.25	0.000157724
2.26	8.60314e-005
2.27	0.000143386
2.28	0.000129047
2.29	0.000143386
2.3	7.16928e-005
2.31	5.73542e-005
2.32	0.000114708
2.33	7.16928e-005
2.34	0.000129047
2.35	0.00010037
2.36	7.16928e-005
2.37	0.000114708
2.38	0.000129047
2.39	2.86771e-005
2.4	8.60314e-005
2.41	0.000129047
2.42	0.00020074
2.43	0.000157724
2.44	0.000114708
2.45	0.00020074
2.46	0.00010037
2.47	0.00010037
2.48	0.00010037
2.49	7.16928e-005
2.5	0.000129047
2.51	0.000143386
2.52	0.000186401
2.53	0.000143386
2.54	0.000143386
2.55	0.000129047
2.56	7.16928e-005
2.57	8.60314e-005
2.58	0.000114708
2.59	0.000157724
2.6	0.00010037
2.61	0.000157724
2.62	0.000172063
2.63	8.60314e-005
2.64	0.000129047
2.65	0.000172063
2.66	7.16928e-005
2.67	0.000114708
2.68	0.000143386
2.69	0.000172063
2.7	0.00010037
2.71	0.000129047
2.72	0.000143386
2.73	0.00010037
2.74	0.000172063
2.75	0.000129047
2.76	0.00010037
2.77	0.00010037
2.78	0.000172063
2.79	0.000215078
2.8	0.000172063
2.81	0.00020074
2.82	0.000143386
2.83	0.000143386
2.84	8.60314e-005
2.85	0.000143386
2.86	0.00010037
2.87	0.000157724
2.88	0.000157724
2.89	0.000186401
2.9	0.000229417
2.91	0.000157724
2.92	0.000143386
2.93	0.00020074
2.94	8.60314e-005
2.95	0.000129047
2.96	0.00010037
2.97	0.000129047
2.98	0.000114708
2.99	0.00020074
3	0.000172063
3.01	0.000157724
3.02	0.000186401
3.03	0.000215078
3.04	5.73542e-005
3.05	0.00020074
3.06	0.000172063
3.07	0.000114708
3.08	0.00010037
3.09	0.000157724
3.1	0.000172063
3.11	0.000143386
3.12	0.000143386
3.13	0.000114708
3.14	0.000114708
3.15	0.000157724
3.16	0.000129047
3.17	0.000215078
3.18	0.000286771
3.19	0.00010037
3.2	0.000114708
3.21	0.000172063
3.22	0.000114708
3.23	0.000157724
3.24	0.000172063
3.25	0.000157724
3.26	0.000243756
3.27	0.00020074
3.28	0.000186401
3.29	0.00020074
3.3	0.000157724
3.31	0.000186401
3.32	0.000286771
3.33	0.000172063
3.34	0.000143386
3.35	0.000186401
3.36	0.00010037
3.37	0.000229417
3.38	0.000215078
3.39	0.000272433
3.4	0.000157724
3.41	0.00020074
3.42	0.000129047
3.43	0.000186401
3.44	0.000258094
3.45	0.000243756
3.46	0.000157724
3.47	0.000186401
3.48	0.000143386
3.49	0.00020074
3.5	0.000258094
3.51	0.000186401
3.52	8.60314e-005
